# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
## Vorac Gox
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Vorac Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Vorac Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Vorac Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Vorac Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Comet Shard
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Corpus Ramsled
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 37.94% |
| Ticor Plate | Common | 37.94% |
| Isos | Uncommon | 22.11% |
| Aucrux Capacitors | Rare | 2.01% |

## Exo Raider
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Raider Carver
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Raider Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Raider
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Raider Carver
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Raider
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Raider Carver
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Raider Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Raider Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Gokstad Officer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Gokstad Officer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Gokstad Officer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Butcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Butcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Elite Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Supressor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Elite Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Butcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Elite Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Supressor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Supressor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Elite Kosma Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Kosma Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Exo Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Exo Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Exo Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Exo Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 30.35% |
| Ticor Plate | Common | 30.35% |
| Gallos Rods | Uncommon | 17.69% |
| Komms | Rare | 1.61% |

## Exo Outrider
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Exo Cutter
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Exo Cutter
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Kosma Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Kosma Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 30.35% |
| Ticor Plate | Common | 30.35% |
| Isos | Uncommon | 17.69% |
| Aucrux Capacitors | Rare | 1.61% |

## Kosma Outrider
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Kosma Cutter
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Kosma Cutter
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 37.50% |
| Ticor Plate | Common | 37.50% |

## Elite Gyre Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Gyre Flak
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Gyre Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Gyre Taktis
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 30.35% |
| Ticor Plate | Common | 30.35% |
| Asterite | Uncommon | 8.85% |
| Gallos Rods | Uncommon | 8.85% |
| Komms | Rare | 1.61% |

## Gyre Outrider
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Elite Gyre Cutter
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Gyre Cutter
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 37.50% |
| Ticor Plate | Common | 37.50% |

## Kuva Lich Agor Rok
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Exo Gokstad Pilot
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Gokstad Pilot
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Gokstad Pilot
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Exo Roller Sentry
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Gyre Roller Sentry
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Kosma Roller Sentry
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 6.82% |
| Tellurium | Rare | 0.18% |

## Anu Brachiolyst
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 6.67% |
| Cubic Diodes | Common | 6.67% |
| Titanium | Common | 6.67% |

## Anu Mantalyst
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 6.67% |
| Cubic Diodes | Common | 6.67% |
| Titanium | Common | 6.67% |

## Anu Pyrolyst
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 6.67% |
| Cubic Diodes | Common | 6.67% |
| Titanium | Common | 6.67% |

## Anu Symbilyst
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 6.67% |
| Cubic Diodes | Common | 6.67% |
| Titanium | Common | 6.67% |

## Ionyx
| Item | Rarity | Chance |
|---|---|---|
| Asterite | Uncommon | 16.92% |
| Carbides | Uncommon | 14.52% |
| Cubic Diodes | Uncommon | 14.52% |
| Ticor Plate | Uncommon | 14.52% |
| Titanium | Uncommon | 14.52% |

## Gyrix
| Item | Rarity | Chance |
|---|---|---|
| Asterite | Uncommon | 16.92% |
| Carbides | Uncommon | 14.52% |
| Cubic Diodes | Uncommon | 14.52% |
| Ticor Plate | Uncommon | 14.52% |
| Titanium | Uncommon | 14.52% |

## Mimic
| Item | Rarity | Chance |
|---|---|---|
| Intact Sentient Core | Common | 12.18% |
| Region Resource | Common | 12.18% |
| Orokin Cell | Rare | 0.65% |

## Polished Storage Container
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 19.36% |
| Nav Coordinate | Uncommon | 5.64% |

## Polished Storage Crate
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 18.97% |
| Nav Coordinate | Uncommon | 5.53% |
| Oxium | Rare | 0.50% |

## Nascent Membroid (Level 0 - 50)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 25.81% |
| Cubic Diodes | Uncommon | 25.81% |
| Titanium | Uncommon | 25.81% |
| Isos | Uncommon | 22.56% |

## Nascent Membroid (Level 51 - 75)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 25.81% |
| Cubic Diodes | Uncommon | 25.81% |
| Titanium | Uncommon | 25.81% |
| Asterite | Uncommon | 11.28% |
| Gallos Rods | Uncommon | 11.28% |

## Nascent Membroid (Level 76 - 100)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 25.81% |
| Cubic Diodes | Uncommon | 25.81% |
| Titanium | Uncommon | 25.81% |
| Gallos Rods | Uncommon | 22.56% |

## Mature Membroid (Level 0 - 50)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 25.49% |
| Cubic Diodes | Uncommon | 25.49% |
| Titanium | Uncommon | 25.49% |
| Isos | Uncommon | 20.17% |
| Aucrux Capacitors | Rare | 3.36% |

## Mature Membroid (Level 51 - 75)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 45.35% |
| Cubic Diodes | Uncommon | 27.33% |
| Titanium | Uncommon | 27.33% |
| Asterite | Legendary | — |
| Gallos Rods | Legendary | — |
| Komms | Legendary | — |

## Mature Membroid (Level 76 - 100)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 37.28% |
| Cubic Diodes | Uncommon | 22.47% |
| Titanium | Uncommon | 22.47% |
| Asterite | Uncommon | 17.78% |
| Aucrux Capacitors | Legendary | — |
| Komms | Legendary | — |

## Apex Membroid (Level 0 - 50)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 24.64% |
| Cubic Diodes | Uncommon | 24.64% |
| Titanium | Uncommon | 24.64% |
| Isos | Uncommon | 20.29% |
| Aucrux Capacitors | Rare | 5.80% |

## Apex Membroid (Level 51 - 75)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 59.68% |
| Cubic Diodes | Uncommon | 20.16% |
| Titanium | Uncommon | 20.16% |
| Asterite | Legendary | — |
| Gallos Rods | Legendary | — |
| Komms | Legendary | — |

## Apex Membroid (Level 76 - 100)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 51.19% |
| Cubic Diodes | Uncommon | 17.29% |
| Titanium | Uncommon | 17.29% |
| Gallos Rods | Uncommon | 14.24% |
| Aucrux Capacitors | Legendary | — |
| Nullstones | Legendary | — |

## Juvenile Membroid (Level 0 - 50)
| Item | Rarity | Chance |
|---|---|---|
| Isos | Uncommon | 32.59% |
| Carbides | Uncommon | 22.47% |
| Cubic Diodes | Uncommon | 22.47% |
| Titanium | Uncommon | 22.47% |

## Juvenile Membroid (Level 51 - 75)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 26.84% |
| Cubic Diodes | Uncommon | 26.84% |
| Titanium | Uncommon | 26.84% |
| Gallos Rods | Uncommon | 19.47% |
| Asterite | Legendary | — |

## Juvenile Membroid (Level 76 - 100)
| Item | Rarity | Chance |
|---|---|---|
| Titanium | Common | 45.35% |
| Carbides | Uncommon | 27.33% |
| Cubic Diodes | Uncommon | 27.33% |
| Asterite | Legendary | — |

## Observation Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Thermal Sludge Cannister
| Item | Rarity | Chance |
|---|---|---|
| Thermal Sludge | Common | 100.00% |

## Coolant Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Powercell | Common | 100.00% |

## Scyto Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Calda Toroid | Common | 20.00% |

## Special Duty Coildrive
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Thermic Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Mite Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Vega Toroid | Common | 1.00% |

## Terra Ambulas
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Manker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Armaments Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Vivisect Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Sentient Research Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Vallis Surveillance Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Terra Detron Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Attack Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 10.00% |

## Terra Research Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Provisor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Provisor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Overtaker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Overtaker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Jailer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Cestra Manker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Raptor Sx
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Raptor Sx
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Trencher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Icemire Hyena
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Rabbleback Hyena
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Gyre Hyena
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Cinderthresh Hyena
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Terra Embattor Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Elite Embattor Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Anti Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Nullifier Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Railgun Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Shield Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 10.00% |

## Terra Shockwave Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Trencher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Plasmor Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Sniper Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Terra Oxium Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 10.00% |

## Corpus Trencher Target
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Corpus Cestra Target
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Corpus Supra Target
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Corpus Sniper Target
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Coildrive
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Kyta Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Sola Toroid | Common | 20.00% |

## Chroma
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 4.00% |

## Commandeered Ember Prime
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 4.00% |

## Commandeered Protea Prime
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 4.00% |

## Archimedean Itzam
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Commandeered Trinity Prime
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 4.00% |

## Narmer Scyto Raknoid
| Item | Rarity | Chance |
|---|---|---|
| Calda Toroid | Common | 20.00% |

## Narmer Cache
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 19.36% |
| Nav Coordinate | Uncommon | 5.64% |

## Rogg-417
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Primm
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 10.00% |
